l_id,phase,priority,depends_on,goal_title,codex_goal_prompt,acceptance_criteria,validation_command,expected_artifacts,files_to_inspect_or_create,safety_constraints
G00,master,P0,,Build end-to-end tennis robot simulation,Implement or repair a complete simulation-first tennis recognition and robot interception system. Start by auditing the repository and environment; then make a minimal runnable closed loop: synthetic tennis ball video or simulator -> detector -> trajectory and landing-point estimator -> robot planner/controller -> IMU-aided localization -> visualization/logging -> tests and README. Keep changes incremental and safe; prefer existing project structure; create missing modules only when needed; leave clear TODOs only for real hardware integration.,A single smoke-test command runs the full simulated closed loop without hardware; it prints predicted landing point and robot final pose; generated plots or overlay video are saved under outputs/; tests pass or documented known failures are isolated.,python -m tennis_robot_sim.run_sim --scenario default --no-hardware --output outputs/smoke || python scripts/run_sim.py --scenario default --no-hardware,outputs/smoke/*; README_simulation.md; environment_report.md; tests/*,entire repository; README*; environment.yml; requirements*.txt; pyproject.toml; setup.py; src/; sim/; scripts/; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G01,repo_env,P0,,Synchronize repo safely and inventory project,"Inspect the git repository state and project layout. Run git status, branch, remote, and log summary. If the repo is clean, run git pull --ff-only. If there are local changes, do not overwrite them; record them in environment_report.md and continue with read-only inventory. Identify README, entry points, dependency files, source packages, hardware-control files, and missing modules relevant to tennis detection, trajectory prediction, robot control, and IMU.","environment_report.md contains git status, branch, remotes, latest commit, pull result or reason skipped, tree summary, detected Python entry points, and risk notes for hardware code.",git status --short && git branch --show-current && git remote -v && find . -maxdepth 3 -type f | sed 's#^./##' | sort | head -300,environment_report.md,.git/; README*; environment.yml; requirements*.txt; pyproject.toml; setup.py; src/; scripts/,"Never use git reset, git clean, or overwrite uncommitted files. If pull conflicts occur, stop and document them."
G02,repo_env,P0,G01,Repair conda environment bootstrap,"Make the Python environment reproducible. Inspect environment.yml, requirements.txt, pyproject.toml, setup.py, and import errors. Create scripts/setup_env.sh that creates or updates a conda env named tennis-robot-sim when possible. Prefer Python 3.10 or the project-specified version. Install editable package if pyproject/setup exists. Add a small scripts/check_env.py that imports cv2, numpy, scipy, matplotlib, yaml, torch if present, and project modules without crashing. Record CPU/GPU/Jetson/CUDA availability but do not require GPU for simulation.","scripts/setup_env.sh and scripts/check_env.py exist; check_env.py prints OK for core simulation dependencies; environment_report.md lists exact Python, conda, pip, CUDA, and package versions.",bash scripts/setup_env.sh || true; python scripts/check_env.py,scripts/setup_env.sh; scripts/check_env.py; environment_report.md,environment.yml; requirements.txt; requirements-dev.txt; pyproject.toml; setup.py; scripts/,Do not uninstall user packages globally. Do not require sudo. Keep CPU-only fallback working.
G03,repo_env,P0,G02,Normalize package layout and imports,"Ensure the project can be imported consistently. Detect whether code lives under src/, root packages, or scripts. Add minimal __init__.py files only where appropriate. Create a package namespace tennis_robot_sim if no clear package exists, otherwise adapt to the existing package. Add a lightweight module tennis_robot_sim.health with a health_check() function returning dependency and platform info.","python -c 'import tennis_robot_sim; from tennis_robot_sim.health import health_check; print(health_check())' succeeds, or equivalent existing package import is documented in environment_report.md.","python -c ""import tennis_robot_sim; from tennis_robot_sim.health import health_check; print(health_check())""",tennis_robot_sim/health.py or src/tennis_robot_sim/health.py,src/; tennis_robot_sim/; scripts/; tests/,Minimize renames. Preserve existing APIs. Avoid moving hardware files unless tests prove imports require it.
G04,config,P0,G03,Add central YAML configuration,"Create a central config system for simulation parameters. Add configs/default_sim.yaml with camera intrinsics/extrinsics, tennis ball color thresholds, ball radius, gravity, bounce coefficient, court dimensions, robot kinematics, controller gains, IMU noise parameters, logging paths, and safety limits. Add tennis_robot_sim.config.load_config(path=None) that validates required keys and supplies defaults.","load_config() returns a dict/dataclass with required sections: camera, detector, ball, court, robot, controller, imu, sim, logging, safety; missing optional keys receive defaults; invalid configs raise clear errors.","python -c ""from tennis_robot_sim.config import load_config; cfg=load_config(); print(cfg.keys() if hasattr(cfg,'keys') else cfg)""",configs/default_sim.yaml; tennis_robot_sim/config.py,configs/; tennis_robot_sim/config.py; tests/test_config.py,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G05,simulation,P0,G04,Implement synthetic tennis ball and court simulator,"Implement a deterministic simulation of tennis ball flight on a simple court. Add tennis_robot_sim.sim.ball with projectile motion under gravity, optional bounce, and landing-point ground intersection. Add tennis_robot_sim.sim.scenario with seeded scenarios: default, high_lob, fast_cross, noisy_camera. The simulator should output time, 3D ball position, and ground-truth landing point.","A default scenario produces at least 60 time steps, a plausible landing point on the court plane, and deterministic output with the same seed. Unit tests verify gravity, landing calculation, and bounce behavior within tolerance.",python -m pytest tests/test_ball_sim.py -q,tennis_robot_sim/sim/ball.py; tennis_robot_sim/sim/scenario.py; tests/test_ball_sim.py,tennis_robot_sim/sim/; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G06,simulation,P0,G05,Implement camera projection and synthetic frame renderer,"Add a pinhole camera model and renderer. Implement world_to_pixel, pixel_to_ground_ray or homography helper, and render synthetic frames with a green/yellow tennis ball on a court-like background. The renderer should optionally add blur, occlusion, and noise. Save frames or video under outputs/synthetic/ for debugging.",A script or module can render a short synthetic sequence; projected ball centers stay inside frame for default scenario; tests check projection shapes and inverse ground mapping.,python -m pytest tests/test_camera_sim.py -q; python -m tennis_robot_sim.tools.render_synthetic --frames 30 --output outputs/synthetic/default.mp4 || true,tennis_robot_sim/sim/camera.py; tennis_robot_sim/sim/render.py; tennis_robot_sim/tools/render_synthetic.py; tests/test_camera_sim.py,tennis_robot_sim/sim/; tennis_robot_sim/tools/; outputs/synthetic/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G07,perception,P0,G06,Implement baseline tennis ball detector,"Implement a robust baseline detector for synthetic and simple real videos. Add tennis_robot_sim.perception.detector with a Detector interface and ColorBallDetector using HSV color threshold, morphology, contour filtering, circularity, radius limits, and confidence. Return detections with frame_id, timestamp, center_px, radius_px, confidence. Include a model-adapter stub for future neural detector but keep baseline CPU-only.",Detector finds the synthetic tennis ball in at least 90 percent of default frames; false detections are filtered by area/radius; output schema is documented and tested.,python -m pytest tests/test_detector.py -q,tennis_robot_sim/perception/detector.py; tests/test_detector.py,tennis_robot_sim/perception/; tests/,Do not download large model weights unless explicitly configured. Baseline must run CPU-only.
G08,perception,P1,G07,Add tracking and smoothing,"Add tennis_robot_sim.perception.tracker with a simple constant-velocity Kalman filter or exponential smoother for ball pixel tracks. It should accept detections, handle missing frames, reject outliers, and output smoothed center_px plus velocity_px_s and confidence. Keep implementation dependency-light using numpy/scipy only.","Tracker reduces jitter on noisy synthetic detections; handles at least 5 consecutive missing detections without crashing; tests cover update, predict, and outlier rejection.",python -m pytest tests/test_tracker.py -q,tennis_robot_sim/perception/tracker.py; tests/test_tracker.py,tennis_robot_sim/perception/; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G09,estimation,P0,"G06,G07",Map image detections to world rays or ground coordinates,"Implement tennis_robot_sim.estimation.geometry to convert detections into camera rays and approximate ground-plane coordinates using camera config. Provide helpers for homography-based pixel_to_ground if available, and ray-plane intersection otherwise. Include calibration placeholders and clear assumptions.","Given known synthetic camera parameters, converting projected ground points back to world ground coordinates is accurate within a small tolerance. Tests pass for center and corner points.",python -m pytest tests/test_geometry.py -q,tennis_robot_sim/estimation/geometry.py; tests/test_geometry.py,tennis_robot_sim/estimation/; configs/default_sim.yaml; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G10,estimation,P0,"G08,G09",Estimate trajectory and landing point,"Implement tennis_robot_sim.estimation.trajectory. Use timestamped detections plus camera geometry to estimate ball trajectory and predict court-plane landing point. For synthetic mode, use known or approximated depth from rendered ground truth when available; otherwise implement a documented 2D/ground-plane fallback. Fit a parabolic model under gravity, estimate velocity, and output LandingPrediction with landing_xy, time_to_land, uncertainty, and debug metrics.","On default synthetic scenario, predicted landing_xy is within configurable tolerance of ground truth, e.g. <0.5 m for clean synthetic data; tests include noisy observations and missing frames.",python -m pytest tests/test_trajectory.py -q,tennis_robot_sim/estimation/trajectory.py; tests/test_trajectory.py,tennis_robot_sim/estimation/; tennis_robot_sim/sim/; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G11,robot,P0,G04,Implement robot kinematics and simulated chassis,"Implement tennis_robot_sim.robot.kinematics and tennis_robot_sim.robot.sim_robot for a small ground vehicle. Support differential-drive or Ackermann-style model depending on existing code; default to differential drive if unspecified. State includes x, y, yaw, linear velocity, angular velocity. Enforce max speed, max angular rate, acceleration limits, and court bounds from config.","A simulated robot can move from start pose toward a target without leaving bounds; tests verify forward motion, rotation, saturation, and deterministic integration.",python -m pytest tests/test_robot_sim.py -q,tennis_robot_sim/robot/kinematics.py; tennis_robot_sim/robot/sim_robot.py; tests/test_robot_sim.py,tennis_robot_sim/robot/; tests/,Simulation only. Any real motor interface must be a separate class and disabled by default.
G12,robot,P0,"G10,G11",Implement interception planner,"Implement tennis_robot_sim.robot.planner. Convert predicted landing point into an interception target pose for the car, with optional offset so the catcher/racket reaches the point. Plan a feasible target under speed limits and time_to_land. If target cannot be reached before landing, choose best-effort closest point and mark reachable=false.","Planner returns target pose, reachable flag, ETA, distance, and reason. Tests cover reachable target, unreachable target, and target clipping within court bounds.",python -m pytest tests/test_planner.py -q,tennis_robot_sim/robot/planner.py; tests/test_planner.py,tennis_robot_sim/robot/; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G13,robot,P0,"G11,G12",Implement controller for simulated car,"Implement tennis_robot_sim.robot.controller with a PID or pure-pursuit style controller that drives the simulated robot toward target pose. Output velocity commands v and omega, respecting safety limits. Include convergence conditions and timeout behavior. Expose Controller.step(state, target, dt).",Controller drives robot within tolerance of reachable target in simulation; commands are bounded by safety limits; tests verify convergence and saturation.,python -m pytest tests/test_controller.py -q,tennis_robot_sim/robot/controller.py; tests/test_controller.py,tennis_robot_sim/robot/; tests/,Never send commands to real hardware from this controller unless routed through explicit hardware interface with enable flag.
G14,imu,P0,G11,Implement IMU simulator,"Implement tennis_robot_sim.imu.sim_imu. Generate accelerometer and gyroscope readings from simulated robot motion with configurable bias, Gaussian noise, drift, and timestamp jitter. Include calibration parameters in config. Output IMUSample timestamp, accel, gyro, yaw_rate, optional ground truth pose for evaluation.","IMU simulator produces realistic noisy readings from known robot trajectory; tests check zero-motion noise, constant rotation gyro sign, and deterministic seed behavior.",python -m pytest tests/test_imu_sim.py -q,tennis_robot_sim/imu/sim_imu.py; tests/test_imu_sim.py,tennis_robot_sim/imu/; configs/default_sim.yaml; tests/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G15,imu,P0,"G11,G14",Implement IMU-aided localization,"Implement tennis_robot_sim.imu.localization. Fuse wheel/command odometry and IMU yaw-rate/acceleration to estimate car pose. Start with a complementary filter or lightweight EKF. Provide reset, predict, update_imu, update_odometry, and get_state methods. Report covariance or confidence if implemented.",Localization tracks simulated robot pose with lower yaw error than odometry-only under noisy commands; tests compare estimated pose to ground truth over a short trajectory.,python -m pytest tests/test_localization.py -q,tennis_robot_sim/imu/localization.py; tests/test_localization.py,tennis_robot_sim/imu/; tennis_robot_sim/robot/; tests/,Do not assume IMU gives absolute position. Clearly document drift and limitations.
G16,integration,P0,"G07,G10,G13,G15",Build closed-loop simulation runner,"Create the main closed-loop runner tennis_robot_sim.run_sim. It should load config, create scenario, render frames, detect and track tennis ball, estimate landing point, plan target, run robot controller with IMU-aided localization, log each step, and save outputs. CLI flags: --scenario, --config, --output, --seed, --frames, --no-hardware. It must default to no hardware.","python -m tennis_robot_sim.run_sim --scenario default --no-hardware --output outputs/smoke completes successfully and writes metrics.json, trajectory.csv, robot_path.csv, and at least one visualization file.",python -m tennis_robot_sim.run_sim --scenario default --no-hardware --output outputs/smoke,tennis_robot_sim/run_sim.py; outputs/smoke/metrics.json; outputs/smoke/trajectory.csv; outputs/smoke/robot_path.csv,tennis_robot_sim/run_sim.py; tennis_robot_sim/*; outputs/,Default must be simulation/no-hardware. Hardware code must require explicit --hardware plus config safety.enable_real_hardware=true.
G17,integration,P1,G16,Add visualization and debug artifacts,"Add visualization tools for debugging. Save overlay frames or video showing detection circle, tracked path, predicted landing point, and robot target. Save a top-down court plot with ball trajectory, predicted landing point, robot path, and final pose. Use matplotlib/OpenCV; keep it optional and headless-friendly.","After run_sim, outputs include overlay image/video and top_down.png. Visuals are generated without GUI display and work on headless server.",python -m tennis_robot_sim.run_sim --scenario default --no-hardware --output outputs/vis_test && ls outputs/vis_test,tennis_robot_sim/visualization.py; outputs/*/overlay.*; outputs/*/top_down.png,tennis_robot_sim/visualization.py; outputs/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G18,integration,P1,G16,Add structured logging and replay,"Add structured CSV/JSON logging for detections, tracks, landing predictions, robot states, IMU samples, commands, and final metrics. Add a replay tool that reads saved logs and regenerates top-down plots without rerunning simulation.",Run outputs contain machine-readable logs; replay command can regenerate a plot from logs; logs include timestamps and coordinate frame names.,python -m tennis_robot_sim.tools.replay --input outputs/smoke --output outputs/replay_test || true,tennis_robot_sim/logging_utils.py; tennis_robot_sim/tools/replay.py; outputs/*/*.csv; outputs/*/*.json,tennis_robot_sim/tools/; tennis_robot_sim/logging_utils.py; outputs/,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G19,quality,P0,G16,Create end-to-end smoke test,"Create tests/test_end_to_end_sim.py that runs a short default simulation in no-hardware mode with fixed seed and asserts output files exist, no NaN metrics appear, predicted landing point is finite, and robot final distance to target is below a reasonable threshold or marked unreachable with reason.",End-to-end test passes on CPU in under about 60 seconds; failing conditions print useful debug paths.,python -m pytest tests/test_end_to_end_sim.py -q,tests/test_end_to_end_sim.py,tests/; tennis_robot_sim/run_sim.py,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G20,quality,P1,G19,Add continuous validation command,"Add a single validation script scripts/validate_sim.sh that runs environment check, unit tests, and a short smoke simulation. It should be safe to run repeatedly and should not require GPU, camera, serial port, GPIO, or internet after dependencies are installed.",bash scripts/validate_sim.sh exits 0 or reports clearly which step failed; it leaves artifacts under outputs/validation/.,bash scripts/validate_sim.sh,scripts/validate_sim.sh; outputs/validation/,scripts/; tests/; outputs/,"No hardware access, no sudo, no destructive cleanup. Use mkdir -p outputs/validation instead of deleting broad directories."
G21,hardware_abstraction,P1,"G13,G15",Add safe hardware abstraction layer,"If hardware control files exist, wrap them behind a RobotInterface with SimRobotInterface and RealRobotInterface. The default runner must use SimRobotInterface. RealRobotInterface may open serial/GPIO only when --hardware is passed and safety.enable_real_hardware is true. Add dry-run mode that prints commands instead of sending them.",No import or simulation path opens serial/GPIO by default; tests can instantiate SimRobotInterface; RealRobotInterface refuses to run without explicit enable flags.,python -m pytest tests/test_hardware_safety.py -q,tennis_robot_sim/robot/interface.py; tests/test_hardware_safety.py,existing motor/control files; tennis_robot_sim/robot/; tests/,Hard safety gate required. Clamp speed. Include emergency stop method. Never actuate hardware during tests.
G22,jetson_optional,P2,"G02,G16",Add Jetson-friendly notes and monitoring hooks,Add optional Jetson runtime notes without making Jetson mandatory. Detect platform with uname and nvidia-smi/tegrastats availability. Document that Jetson may show Orin nvgpu with many N/A fields in nvidia-smi. Add optional scripts/jetson_monitor.sh using tegrastats if present. Do not require CUDA for simulation.,README_simulation.md includes Jetson notes; scripts/jetson_monitor.sh runs tegrastats when available and exits gracefully otherwise.,bash scripts/jetson_monitor.sh || true,scripts/jetson_monitor.sh; README_simulation.md,scripts/; README_simulation.md; environment_report.md,Do not require sudo or install Jetson packages automatically. Monitoring only.
G23,docs,P0,"G16,G20",Write simulation README,"Write README_simulation.md for a new developer. Include project purpose, architecture diagram in text, setup steps, conda troubleshooting, how to run smoke simulation, output files, module responsibilities, coordinate frames, IMU limitations, how to switch from simulation to real hardware safely, and next steps for improving detector with real data.","README_simulation.md is complete enough that a fresh user can run setup, validation, and smoke sim; all commands are copy-pasteable; safety warnings are explicit.",test -f README_simulation.md && grep -E 'setup|run_sim|no-hardware|IMU|landing|safety' README_simulation.md,README_simulation.md,README_simulation.md; environment_report.md,Emphasize simulation-first and disabled-by-default hardware control.
G24,docs,P1,"G16,G17",Document coordinate frames and data contracts,"Create docs/data_contracts.md describing frame conventions: image pixels, camera coordinates, world/court coordinates, robot body frame, IMU frame. Document dataclasses or dictionaries for Detection, TrackState, LandingPrediction, RobotState, IMUSample, ControlCommand, and log CSV columns.",docs/data_contracts.md exists and matches actual code/log columns; it lists units for every field and clarifies axis directions.,test -f docs/data_contracts.md && grep -E 'Detection|LandingPrediction|RobotState|IMUSample|units' docs/data_contracts.md,docs/data_contracts.md,docs/; tennis_robot_sim/*; outputs/smoke/*.csv,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G25,real_data_optional,P2,"G07,G16",Add real video input path without requiring it,"Extend run_sim or add run_video so an optional real video file can be processed through the detector/tracker/landing estimator. If no video is provided, use synthetic simulation. For real video, require camera calibration or use a documented rough fallback. Save overlay video and detection CSV. Do not block core smoke test on real video availability.",python -m tennis_robot_sim.run_video --input sample.mp4 fails gracefully if file is missing; with a provided video path it writes detections.csv and overlay output.,python -m tennis_robot_sim.run_video --help || true,tennis_robot_sim/run_video.py; outputs/video_test/,tennis_robot_sim/run_video.py; tennis_robot_sim/perception/; configs/,No hardware movement from real video runner. Calibration assumptions must be explicit.
G26,quality,P1,"G20,G23",Polish errors and developer UX,"Run the validation script, inspect failures, and improve error messages. Ensure missing dependency, missing config, missing output directory, and unavailable display/GPU all produce actionable messages. Add __main__ guards and --help text for CLI modules.",All public scripts provide --help; common failure modes print friendly instructions; validation produces a concise final summary.,python -m tennis_robot_sim.run_sim --help; bash scripts/validate_sim.sh,CLI help text; improved exceptions; validation summary,tennis_robot_sim/run_sim.py; scripts/validate_sim.sh; README_simulation.md,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.
G27,final,P0,"G20,G23,G24",Final integration report,"Produce a final integration report after the simulation system is runnable. Include what was changed, how to run, validation results, remaining limitations, suggested next improvements, and any manual steps needed for conda, git pull conflicts, camera calibration, or hardware enablement. Keep it factual and reference exact commands and output paths.","FINAL_REPORT.md exists and includes validation command output summary, artifact paths, known limitations, and next actions. No hidden failing tests are ignored.",test -f FINAL_REPORT.md && grep -E 'Validation|Run|Limitations|Next' FINAL_REPORT.md,FINAL_REPORT.md,FINAL_REPORT.md; outputs/validation/; README_simulation.md,Simulation-first only; do not trigger real motor/GPIO/serial writes unless an explicit --hardware or --real flag is passed; preserve local git changes; do not run destructive git reset/clean/rm commands.

